"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\homeUtilities\reviews.js", "JavaScript", 0, 0, 186, 0, 0, 0, 139, 4, 329
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\productsUtilityComponents\cardDetails.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 3, 98
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\productsUtilityComponents\cardDetails_2M.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 2, 35
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\productsUtilityComponents\description.js", "JavaScript", 0, 0, 103, 0, 0, 0, 1, 3, 107
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\productsUtilityComponents\module.js", "JavaScript", 0, 0, 122, 0, 0, 0, 2, 7, 131
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\productsUtilityComponents\packagingPricing.js", "JavaScript", 0, 0, 106, 0, 0, 0, 0, 2, 108
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\productsUtilityComponents\productDescription.js", "JavaScript", 0, 0, 140, 0, 0, 0, 4, 7, 151
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\solutionsUtilities\ReadMoreSolutions.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\solutionsUtilities\cardImage.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Code\Freelancing\Web_D\public\src\components\utilityComponents\solutionsUtilities\description.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 5, 27
"d:\Code\Freelancing\Web_D\public\src\index.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"Total", "-", 35, 23371, 4229, 37, 3595, 1, 826, 812, 32906
